Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,,9.3,10.7,12.6,15.1,17.9,12.9,450,540,670,837,1100,770,60,25214,222225,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Maison 1-3P,9.7,10.9,12.7,15.5,17.6,13.1,600,673,798,950,1200,828,63,445,14886,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Ensemble 4P+,7.9,9.5,10.9,12.6,15.1,11.7,650,790,1000,1250,1550,1136,97,3288,46880,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Maison 4P+,7.5,10,11.5,14.1,16.4,11.6,850,1000,1205,1490,1700,1305,112,655,16549,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Appart 1P,12.2,14.3,16.7,20,23.2,16.5,350,400,455,515,565,458,28,4144,30467,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Appart 2P,10.4,12,14,15.8,18,14.2,451,508,582,650,720,610,43,9292,64340,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Appart 3P,9,10.2,11.7,13.2,14.7,12.4,565,650,728,830,940,789,64,8045,65652,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Appart 4P+,8,9.3,10.5,12.1,13.8,11.8,625,736,864,1070,1353,1035,88,2633,30331,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Ensemble 1P,12.2,14.3,16.7,20,23.3,16.5,350,400,455,515,567,458,28,4159,31286,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Ensemble 2P,10.4,12,14,15.9,18,14.2,458,510,593,660,740,615,43,9410,69128,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,,Ensemble 3P,9,10.3,11.8,13.3,15.2,12.5,573,650,740,850,980,801,64,8357,74930,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,1. Moins de 1 an,,10,11.7,13.6,16.7,20,15.7,480,560,698,850,1100,891,57,5278,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,1. Moins de 1 an,Ensemble 4P+,8.3,9.7,11.4,13.5,16.7,15.3,650,800,995,1300,1700,1432,93,543,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,1. Moins de 1 an,Ensemble 1P,13,15.2,17.8,20.9,25,17.4,365,430,480,530,580,479,27,1047,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,1. Moins de 1 an,Ensemble 2P,11.7,13,14.9,17.1,18.9,16.5,495,550,627,690,780,701,43,2156,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,1. Moins de 1 an,Ensemble 3P,10,11.2,12.5,14.3,16.9,15.2,625,700,800,895,1100,967,64,1532,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,2. 1 an et plus,,9,10.4,12.3,14.6,17,11.9,444,533,657,825,1100,725,61,19936,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,2. 1 an et plus,Ensemble 4P+,7.6,9.4,10.8,12.4,14.9,10.7,650,790,1000,1240,1500,1048,98,2745,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,2. 1 an et plus,Ensemble 1P,12,14,16.1,19.3,22.6,16.1,350,390,442,500,560,448,28,3112,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,2. 1 an et plus,Ensemble 2P,10,11.5,13.5,15.5,17.4,13.3,450,500,572,649,720,580,43,7254,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,,2. 1 an et plus,Ensemble 3P,8.8,10,11.5,13,14.5,11.5,555,640,717,820,947,739,64,6825,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,,,9,10.6,12.6,15.1,17.8,12.1,420,500,614,775,988,685,57,7730,59174,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,,Ensemble 4P+,7.3,8.9,10.4,11.6,13.3,10.5,676,800,1000,1216,1500,1123,107,821,8492,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,,Ensemble 1P,12,13.9,16.3,20,23.1,16.3,341,390,450,500,550,448,28,1675,10748,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,,Ensemble 2P,10,11.4,13.3,15.4,17.1,13.2,450,497,550,631,717,570,43,3125,22509,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,,Ensemble 3P,8.6,9.9,11.6,13.2,15.4,11.6,550,630,710,830,950,739,64,2109,17425,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,,10.1,11.7,13.6,16.3,19.6,14.1,450,520,640,800,965,755,54,1457,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,43,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,22,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Appart 1P,13.6,15.3,17,20.9,24.5,17.5,365,417,460,511,570,464,26,401,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Appart 2P,11.1,12.8,14.7,16.3,18.5,14.3,479,510,580,650,700,586,41,590,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Appart 3P,9.8,10.7,12.3,13.3,16.8,12.2,600,670,770,860,980,778,64,308,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,1. Moins de 1 an,Appart 4P+,7.3,9.5,10.4,12.4,15.3,16.8,730,884,1025,1260,2400,1933,115,93,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,,8.7,10.3,12.2,14.7,17.3,11.5,410,494,601,760,1000,661,58,6273,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Maison 1-3P,9.7,10.9,12.5,14.9,16.3,12.8,600,633,769,830,1272,800,62,158,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Maison 4P+,3.6,8.6,10.5,11.7,13.4,8.6,550,1000,1018,1240,1514,1111,129,151,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Appart 1P,11.7,13.4,16,18.9,22.6,15.9,340,387,440,500,544,443,28,1268,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Appart 2P,9.7,11.1,13,14.9,16.4,12.7,428,480,532,610,690,548,43,2479,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Appart 3P,8.3,9.5,11.1,12.7,14.4,11,504,601,680,760,887,691,63,1662,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,1. Avant 1946,2. 1 an et plus,Appart 4P+,7.6,8.9,10.1,11.4,12.2,9.9,646,750,850,1050,1300,913,92,555,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,,,9,10.2,11.7,13.9,16.9,12.4,452,549,650,788,997,746,60,5040,64717,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,,Ensemble 4P+,8.3,9.4,10.6,12.4,13.8,10.8,600,700,834,1002,1354,921,86,920,15659,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,,Ensemble 1P,12.3,14.6,16.1,19.6,23.7,16.3,350,397,433,500,530,438,27,647,6956,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,,Ensemble 2P,10.2,11.5,13.3,15.4,18.9,16.4,443,500,565,640,738,711,43,1374,16678,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,,Ensemble 3P,8.9,10,11,12.4,13.9,11.7,540,620,689,770,928,744,63,2099,25423,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,,9.2,10.7,12.5,15.3,19,15.3,470,550,687,835,1100,890,58,920,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,24,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,12,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 1P,13.9,15.2,17,21.5,27.1,17.1,380,422,460,500,530,454,27,153,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 2P,10.8,12.4,13.8,16.7,19,25.9,480,547,590,660,750,1147,44,278,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 3P,9,10.7,11.8,13.1,15,14.5,600,650,725,816,1100,926,64,312,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 4P+,8.3,9.3,10.3,12.6,14.1,11,580,717,850,995,1329,898,82,141,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,,8.9,10,11.4,13.5,15.9,11.4,450,549,650,759,970,692,61,4120,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Maison 1-3P,9.7,10.7,12.3,12.7,14.2,11.8,700,750,750,950,1000,814,69,75,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Maison 4P+,6.3,7.9,10.9,13.8,16.9,10.4,950,1000,1266,1500,1522,1273,122,77,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Appart 1P,11.7,14.3,15.5,18,23.3,15.9,350,390,420,489,525,430,27,492,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Appart 2P,10.1,11.3,12.8,14.9,18.5,13.1,431,493,545,620,680,564,43,1069,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Appart 3P,8.8,9.6,10.8,11.9,13.2,10.7,540,600,650,720,850,673,63,1717,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,2. Entre 1946-1970,2. 1 an et plus,Appart 4P+,8.2,9.5,10.5,11.8,13.5,10.7,600,683,765,935,1166,837,78,690,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,,,8.7,10,11.9,14.6,17.8,13,500,600,730,924,1259,883,68,2788,43236,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,,Ensemble 4P+,8,9.3,10.5,12.5,16.3,12.7,666,800,990,1262,1600,1187,94,625,12155,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,,Ensemble 1P,12.1,13,16.7,19.8,22,15.9,369,420,500,544,580,482,30,618,6762,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,,Ensemble 2P,10.4,11.7,13.2,15.3,18,13.3,488,550,633,700,741,624,47,750,10813,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,,Ensemble 3P,8.6,9.8,11.4,12.9,14.9,12.7,574,650,738,835,1020,851,67,795,13507,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,,9.7,11.3,13,17.1,20,17.9,500,618,730,900,1550,1112,62,543,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,15,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,28,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 1P,13,16.7,18.3,20.4,22.2,17.6,417,480,520,550,640,522,30,158,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 2P,12,12.5,13.6,16.8,18.8,14.3,500,580,650,700,779,646,45,134,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 3P,10,11.1,11.7,13.6,16.4,18.2,640,680,750,900,1030,1158,64,132,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 4P+,7.4,9.4,10.8,13.2,18.8,20.2,620,780,850,1259,1550,1764,87,76,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,,8.3,9.8,11.3,14,16.8,11.4,478,600,730,950,1170,798,70,2245,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,44,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Maison 4P+,9,9.8,10.6,14,16.6,11.4,860,950,1050,1280,1490,1137,100,139,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Appart 1P,11.3,13,15.6,18.9,21.5,15.1,350,400,452,520,550,460,30,456,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Appart 2P,9.9,11.3,13.2,15.2,17.9,12.9,470,540,610,680,720,610,47,599,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Appart 3P,8.3,9.5,10.7,12.5,14,10.9,520,650,714,800,1010,740,68,625,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,3. Entre 1971-1990,2. 1 an et plus,Appart 4P+,7.5,8.3,10,11.5,13.7,10.3,620,730,800,1100,1400,933,91,382,,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,,,10.5,12,14.1,17.6,20.3,13.7,470,587,740,948,1314,833,61,3161,24029,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,,Ensemble 4P+,9.6,10.5,12,13.4,16,12.3,790,977,1200,1400,2047,1293,105,370,5300,Estimation directe
B1300,2022,Agglom�ration d'Aix-Marseille,,,4. Entre 1991-2005,,Ensemble 1P,14.7,17.4,20,22.3,25.6,19.1,350,417,490,540,640,486,25,628,3903,Estimation directe
